"Severity","Scene","Station or cue","Problem","Evidence","Player impact","Proposed fix","Mechanical or creative","Owner decision needed","Status"
"P1","Global","Station architecture","Runtime and source documentation now agree that 97.8 THE SQUATCH is the one live station; `uncle` and `ksqch` remain unresolved legacy identities only.","src/core/stations.js:4","Resolved for current development: agents no longer mistake legacy tags for selectable dials.","Documentation is corrected. Do not revive or delete legacy identities until the owner decides their future.","Mechanical","OWNER: retire or restore `uncle` and `ksqch` identities.","DOCUMENTED — OWNER DECISION OPEN"
"P1","Global","assets/music/manifest.json `station`","The manifest now labels `station` as ignored legacy catalog metadata; current Radio.playlist intentionally filters only `cue` plus exact `venue`.","assets/music/manifest.json:2 and src/core/radio.js:201","Current behavior is documented: legacy-tagged unscoped records can air on 97.8 in every physical receiver.","After OWNER decides station/venue allocation, update metadata and runtime together with a contract test.","Mechanical","OWNER: desired station/venue allocation for existing tracks.","DOCUMENTED — OWNER DECISION OPEN"
"P1","Luxury Apartment; Mansion; Mansion Return","Physical 97.8 receivers","Luxury Apartment and both Mansion visits previously reset their physical 97.8 receivers instead of using the shared campaign adapter.","src/luxury-apartment/main.js:305; src/mansion/main.js:856; focused residency and real-browser reload receipts.","Resolved: saved power, volume, cursor, and selection now survive reload without autoplay before the player gesture or duplicate Mansion talk beds.","Implemented: unique Luxury ownership and one shared physical Mansion house tuner, both default-off and restored after audio unlock.","Mechanical","No; used the established shared receiver behavior.","RESOLVED"
"P1","Global","Radio + venue/mission scores","There is no generated all-scene proof for simultaneous playback, stop/restore behavior, or scene teardown across radio and dedicated music systems.","Source inventory spans src/core/radio.js, src/silver/music.js, src/heist/music.js, src/enolasquatch/audio.js, src/motel/audio.js, and scene-local loops; no overlap audit generator existed before this report.","A stale loop or two valid systems playing together can mask dialogue or survive a transition.","Mechanical: add narrow browser receipts for start, stop, restore, teardown, console errors, and concurrent music keys.","Mechanical","No for lifecycle checks; OWNER only for desired overlaps.","OPEN"
"P1","Global","All long-form music","All 24 music tracks lack a structured license/source field; 24 rely on title/artist/notes only.","assets/music/manifest.json contains file/title/artist/venue/cue notes but no consistent license or provenance schema.","Distribution provenance cannot be proven from the repository.","OWNER: supply source/license facts. Mechanical: add structured fields and a manifest check without changing tracks.","Creative","OWNER: provenance/license for every retained track.","OWNER"
"P1","Global","Mix / loudness","24/24 long-form masters now have hash-bound integrated-LUFS, sample-peak, and 4× intersample peak evidence; configured gains still need active-scene mix review.","docs/audits/radio/loudness-measurements.json plus the generated Cue Inventory; the meter makes no production gain changes.","Tracks at the same configured gain can have very different perceived loudness and mask dialogue.","Mechanical measurement is complete. Add active-play dialogue/overlap receipts; OWNER approves any gain or asset normalization changes.","Mechanical","OWNER for audible mix changes after measurements.","MEASURED — ACTIVE MIX REVIEW OPEN"
"P2","Multiple receivers","Venue filtering","No exact non-cue track is tagged for countryside_cabin, beefrun, silver_pines, luxury_apartment; those venues inherit every unscoped radio record.","src/core/radio.js:202 plus manifest venue inventory.","Different locations can sound identical even when their venue names imply separate programming.","OWNER: declare whether shared unscoped rotation is intentional. Mechanical changes only after that ruling.","Creative","OWNER: venue availability for existing tracks.","OWNER"
"P2","Apartment; Cabin vs other receivers","Mission news","Mission-aware NEWS_SEGMENTS are enabled on the apartment and cabin receivers only; other receivers run the same station without news eligibility.","src/main.js:427; src/cabin/main.js:169","A player can hear the same station in another location but not the campaign bulletin that is eligible at home.","OWNER: decide which physical receivers carry mission news; then wire the same shared callback where intended.","Creative","OWNER: news coverage by venue.","OWNER"
"P2","Global","Station shows vs mission news","Show selection remains hour-only. Mission news is event-gated, but the named hosts do not gain day/chapter-specific exchange pools.","src/core/radio.js:617 and NEWS_SEGMENTS in src/core/stations.js.","The station reacts through news bulletins, while ordinary host banter eventually repeats independent of campaign day.","OWNER: approve any host-program rewrite first. Reuse the current deterministic selection and bulletin state rather than adding another radio framework.","Creative","OWNER: whether host programming should become chapter-aware.","OWNER"
"P2","Global","Cue inventory","4 radio/music assets have no reachable source/runtime use; 0 referenced audit assets are missing.","Generated Cue Inventory combines manifests, generated voice cue names, source references, receiver eligibility, and byte hashes.","Dead rows increase recording and QA noise; missing assets can produce silent fallback paths.","Mechanical: review each generated row. Remove manifest and file together only after confirming no dynamic use; preserve legacy station assets pending OWNER decision.","Mechanical","OWNER only for legacy station identity cues.","OPEN"
"P2","Global","Filename/content and source-only audit limit","298 spoken station/news cues have current hash-bound Scribe v2 receipts; 0 spoken cues remain stale, missing, or below the review threshold. Long-form music still requires owner listening/provenance.","docs/audits/radio/content-transcriptions.json binds cue, current authored text hash, voice, delivered MP3 hash, transcript, language, and similarity.","A correctly named but stale/wrong spoken take now fails the content gate; music identity is still explicitly not inferred from filenames.","Mechanical spoken-content verification is implemented. OWNER supplies provenance and reviews retained music identity; rerender any future speech review row.","Mechanical","OWNER only for long-form music provenance/identity or a genuine creative speech mismatch.","RESOLVED FOR SPOKEN CUES — MUSIC OWNER REVIEW"
"P3","Campaign-wide","Intentional silence","7 campaign beat rows have no authored station or long-form music source.","Generated Scene Timeline covers every CAMPAIGN_SPINE beat and emits an explicit silent row when no source is found.","Not inherently a defect; the audit now makes silence reviewable instead of invisible.","Keep silent. OWNER may issue a specific music brief; do not fill gaps automatically.","Creative","OWNER only if a silent beat should gain music.","DOCUMENTED"
"P3","Global","Previous radio audit","The 2026-08-05 prose audit reports 222 cues; current voiceCues() reports 275 and includes mission-aware news.","docs/audits/2026-08-05/radio-audit.md:73 vs live src/core/stations.js.","Agents using the old report can repeat completed redesign work or quote stale counts.","Mechanical: treat this generated workbook/CSVs as the current audit and keep the older report as dated history.","Mechanical","No","RESOLVED BY THIS AUDIT"
