"Cue ID","File","Format","Duration","Source or license note","Loop flag","Number of uses","Scenes using it","Orphan status","Duplicate status","Filename-content mismatch","Loudness issue","Playback issue","Recommended action"
"music:baby-snakes.mp3","assets/music/baby-snakes.mp3","MP3","108.46","Artist metadata: Frank Zappa. Booski's entrance, on the [E] that takes the shot. Owner-picked window widened 0.4s at each end on the 2026-08-04 playtest: in at 18.6, out at 22.6. Documentation — the runtime reads signature-music.js. License/source field not recorded in manifest.","No","3","bada_bing_one","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:cant-you-hear-me-knocking.mp3","assets/music/cant-you-hear-me-knocking.mp3","MP3","435.72","Artist metadata: The Rolling Stones. Beef Run's takeoff needle-drop, right around climbout. No station and no venue -- a cue, not programming. Runtime reads MissionAudio.takeoffAnthemFile in src/beefrun/audio.js, set in src/beefrun/main.js. License/source field not recorded in manifest.","No","2","airstrip_smuggling","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:codename-sasquatch.mp3","assets/music/codename-sasquatch.mp3","MP3","104.304","THE TAKE's safehouse radio, on the crew's actual fresh start the morning of the job -- not on the preview/resume/return paths. No station and no venue -- a cue, not programming. Runtime reads the file directly in src/heist/main.js's begin(). License/source field not recorded in manifest.","No","1","bank_heist","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:driving-jerky-hotel.mp3","assets/music/driving-jerky-hotel.mp3","MP3","224.592","Low-volume, non-diegetic score for the Jerky Motel drive. It is not radio programming and has no world source. License/source field not recorded in manifest.","Yes","1","jerky_motel","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:driving-the-take.mp3","assets/music/driving-the-take.mp3","MP3","194.712","Low-volume, non-diegetic score for THE TAKE's escape drive. It is not radio programming and has no world source. License/source field not recorded in manifest.","Yes","1","bank_heist","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:enola-escape-after-drop.mp3","assets/music/enola-escape-after-drop.mp3","MP3","148.2","Non-diegetic escape score. It starts only after the explosion and its authored silent aftermath have landed. License/source field not recorded in manifest.","No","1","enola_squatch","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:enola-pre-bomb-drop-approach.mp3","assets/music/enola-pre-bomb-drop-approach.mp3","MP3","37.704","Non-diegetic approach score. The mission aligns its ending to bomb release and hard-cuts it if the release happens early. License/source field not recorded in manifest.","No","1","enola_squatch","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:fortunate-son.mp3","assets/music/fortunate-son.mp3","MP3","232.046","Artist metadata: Creedence Clearwater Revival. The Enola Squatch's takeoff needle-drop, same mechanism as Beef Run's. No station and no venue -- a cue, not programming. Runtime reads MissionAudio.takeoffAnthemFile in src/beefrun/audio.js, set in src/enolasquatch/main.js. License/source field not recorded in manifest.","No","1","enola_squatch","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:front-and-center-background-35c043f1.mp3","assets/music/front-and-center-background-35c043f1.mp3","MP3","108.072","Artist metadata: lousputthole. Non-diegetic supper-club bed. The Silver runtime filters it in the kitchen hallway, opens it in the dining room, and ducks it under story dialogue. License/source field not recorded in manifest.","Yes","1","silver_room","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:front-and-center-opening-b3b9d1cc.mp3","assets/music/front-and-center-opening-b3b9d1cc.mp3","MP3","337.176","Artist metadata: lousputthole. The first 27 seconds only, immediately after the band's opening joke; it fades directly into Bananaphone. License/source field not recorded in manifest.","No","1","silver_room","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:sensi-lou.mp3","assets/music/sensi-lou.mp3","MP3","10.919","Artist metadata: —. Lou's office, on the first entry only. Owner-picked window: in at 5.0, out at 9.7. No station and no venue -- a cue, not programming. License/source field not recorded in manifest.","No","3","bada_bing_one","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
"music:spy-jazz.mp3","assets/music/spy-jazz.mp3","MP3","159.696","The Bing store room's portable radio during License to Grill (Blond). No station and no venue -- a cue, not programming. Runtime reads signature-music.js's storeRoomJazz. License/source field not recorded in manifest.","No","1","bada_bing_one","No","No byte-identical audit duplicate","UNVERIFIED — manifest text/title is not an audio-content check","UNMEASURED — no integrated-LUFS evidence","No source-level issue; active-play receipt pending","Keep; verify audible content and loudness in the active scene."
