Beat,Chapter,Scene,Order,Character,Voice,Line,Words,Ordering,Cue,File
0,CH1 PROSPECT,Squatch Smash Intro,1,Tony (the Prospect),player,"Right, let's have a look.",5,RUN — authored order,vo.pc.sit.1,vo.pc.sit.1.mp3
0,CH1 PROSPECT,Squatch Smash Intro,2,Tony (the Prospect),player,Just one game.,3,RUN — authored order,vo.pc.sit.2,vo.pc.sit.2.mp3
0,CH1 PROSPECT,Squatch Smash Intro,3,Tony (the Prospect),player,"Right, come on.",3,RUN — authored order,vo.smash.1,vo.smash.1.mp3
0,CH1 PROSPECT,Squatch Smash Intro,4,Tony (the Prospect),player,Not the hikers. Not the hikers!,6,RUN — authored order,vo.smash.2,vo.smash.2.mp3
0,CH1 PROSPECT,Squatch Smash Intro,5,Tony (the Prospect),player,Right then.,2,RUN — authored order,vo.pc.sit.3,vo.pc.sit.3.mp3
0,CH1 PROSPECT,Squatch Smash Intro,6,Tony (the Prospect),player,Ten minutes. That is all this is.,7,RUN — authored order,vo.pc.sit.4,vo.pc.sit.4.mp3
0,CH1 PROSPECT,Squatch Smash Intro,7,Tony (the Prospect),player,Let us see what the boys are doing.,8,RUN — authored order,vo.pc.sit.5,vo.pc.sit.5.mp3
0,CH1 PROSPECT,Squatch Smash Intro,8,Tony (the Prospect),player,That is a score. That is a real score.,9,RUN — authored order,vo.smash.3,vo.smash.3.mp3
0,CH1 PROSPECT,Squatch Smash Intro,9,Tony (the Prospect),player,Beat it. Barely. But beat it.,6,RUN — authored order,vo.smash.4,vo.smash.4.mp3
0,CH1 PROSPECT,Squatch Smash Intro,10,Tony (the Prospect),player,One more. One more and then I get on with things.,11,RUN — authored order,vo.smash.5,vo.smash.5.mp3
0,CH1 PROSPECT,Squatch Smash Intro,11,Tony (the Prospect),player,This game is rigged and I love it.,8,RUN — authored order,vo.smash.6,vo.smash.6.mp3
1,CH1 PROSPECT,First Apartment,1,Tony (the Prospect),player,Nope.,1,RUN — authored order,vo.wake.1,vo.wake.1.mp3
1,CH1 PROSPECT,First Apartment,2,Tony (the Prospect),player,"What time is… no. No, that is not right.",9,RUN — authored order,vo.wake.2,vo.wake.2.mp3
1,CH1 PROSPECT,First Apartment,3,Tony (the Prospect),player,Right. Awake. Great.,3,RUN — authored order,vo.wake.3,vo.wake.3.mp3
1,CH1 PROSPECT,First Apartment,4,Tony (the Prospect),player,Feet. Floor. Fine.,3,RUN — authored order,vo.getup.1,vo.getup.1.mp3
1,CH1 PROSPECT,First Apartment,5,Tony (the Prospect),player,Up. There we go.,4,RUN — authored order,vo.getup.2,vo.getup.2.mp3
1,CH1 PROSPECT,First Apartment,6,Tony (the Prospect),player,Just for a minute.,4,RUN — authored order,vo.liedown.1,vo.liedown.1.mp3
1,CH1 PROSPECT,First Apartment,7,Tony (the Prospect),player,"Yeah, no, this was the right call.",7,RUN — authored order,vo.liedown.2,vo.liedown.2.mp3
1,CH1 PROSPECT,First Apartment,8,Tony (the Prospect),player,Goodnight to me.,3,RUN — authored order,vo.sleep.1,vo.sleep.1.mp3
1,CH1 PROSPECT,First Apartment,9,Tony (the Prospect),player,"See you tomorrow, I suppose.",5,RUN — authored order,vo.sleep.2,vo.sleep.2.mp3
1,CH1 PROSPECT,First Apartment,10,Tony (the Prospect),player,Same as it was an hour ago.,7,RUN — authored order,vo.fridge.1,vo.fridge.1.mp3
1,CH1 PROSPECT,First Apartment,11,Tony (the Prospect),player,Cold air. Great. Love that.,5,RUN — authored order,vo.fridge.2,vo.fridge.2.mp3
1,CH1 PROSPECT,First Apartment,12,Tony (the Prospect),player,I keep thinking something new will be in here.,9,RUN — authored order,vo.fridge.3,vo.fridge.3.mp3
1,CH1 PROSPECT,First Apartment,13,Tony (the Prospect),player,There we go.,3,RUN — authored order,vo.beer.open.1,vo.beer.open.1.mp3
1,CH1 PROSPECT,First Apartment,14,Tony (the Prospect),player,Six-oh-four. Somewhere it's five.,4,RUN — authored order,vo.beer.open.2,vo.beer.open.2.mp3
1,CH1 PROSPECT,First Apartment,15,Tony (the Prospect),player,"Oh, that's the one.",4,RUN — authored order,vo.beer.good.1,vo.beer.good.1.mp3
1,CH1 PROSPECT,First Apartment,16,Tony (the Prospect),player,Yep. That's it. That's the feeling.,6,RUN — authored order,vo.beer.good.2,vo.beer.good.2.mp3
1,CH1 PROSPECT,First Apartment,17,Tony (the Prospect),player,Should probably slow down. Noted. Ignored.,6,RUN — authored order,vo.beer.many.1,vo.beer.many.1.mp3
1,CH1 PROSPECT,First Apartment,18,Tony (the Prospect),player,That one went somewhere different.,5,RUN — authored order,vo.beer.many.2,vo.beer.many.2.mp3
1,CH1 PROSPECT,First Apartment,19,Tony (the Prospect),player,"Okay. Okay, we're doing this.",5,RUN — authored order,vo.beer.many.3,vo.beer.many.3.mp3
1,CH1 PROSPECT,First Apartment,20,Tony (the Prospect),player,That was the last one. That's a decision I made.,10,RUN — authored order,vo.beer.last.1,vo.beer.last.1.mp3
1,CH1 PROSPECT,First Apartment,21,Tony (the Prospect),player,"Oh, that's horrible.",3,RUN — authored order,vo.whiskey.1,vo.whiskey.1.mp3
1,CH1 PROSPECT,First Apartment,22,Tony (the Prospect),player,Nope. Still horrible.,3,RUN — authored order,vo.whiskey.2,vo.whiskey.2.mp3
1,CH1 PROSPECT,First Apartment,23,Tony (the Prospect),player,Jack. And Daniels. Both of them.,6,RUN — authored order,vo.whiskey.3,vo.whiskey.3.mp3
1,CH1 PROSPECT,First Apartment,24,Tony (the Prospect),player,Right.,1,RUN — authored order,vo.cig.light.1,vo.cig.light.1.mp3
1,CH1 PROSPECT,First Apartment,25,Tony (the Prospect),player,Last one. Obviously not the last one.,7,RUN — authored order,vo.cig.light.2,vo.cig.light.2.mp3
1,CH1 PROSPECT,First Apartment,26,Tony (the Prospect),player,Mm.,1,RUN — authored order,vo.cig.drag.1,vo.cig.drag.1.mp3
1,CH1 PROSPECT,First Apartment,27,Tony (the Prospect),player,There it is.,3,RUN — authored order,vo.cig.drag.2,vo.cig.drag.2.mp3
1,CH1 PROSPECT,First Apartment,28,Tony (the Prospect),player,"That's the pack. I'll be buying more, then.",8,RUN — authored order,vo.cig.last.1,vo.cig.last.1.mp3
1,CH1 PROSPECT,First Apartment,29,Tony (the Prospect),player,In she goes.,3,RUN — authored order,vo.zyn.1,vo.zyn.1.mp3
1,CH1 PROSPECT,First Apartment,30,Tony (the Prospect),player,Six milligrams of feeling something.,5,RUN — authored order,vo.zyn.2,vo.zyn.2.mp3
1,CH1 PROSPECT,First Apartment,31,Tony (the Prospect),player,"Oh, that's a mistake.",4,RUN — authored order,vo.bong.1,vo.bong.1.mp3
1,CH1 PROSPECT,First Apartment,32,Tony (the Prospect),player,Right. Well. There goes the afternoon.,6,RUN — authored order,vo.bong.2,vo.bong.2.mp3
