"Beat ID","Policy","Receiver ID","Campaign news","Program ID","Target seconds","Show hour","Block order","Song IDs","Ad IDs","Editorial IDs","Resume key","Browser proof"
"squatch_smash_intro","none","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"first_apartment","talkFirst","apartment","enabled","H-APT-01","300","17","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:notice → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","good-ole-days → cosmic-drift","station.morning","notice.meeting.day_one","campaign.radio.programProgress.H-APT-01","tools/verify-radio-program.mjs · ordered buffer receipts"
"bada_bing_one","musicFirst","bing_car","disabled","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"squatchfather","none","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"cabin_lay_low","talkFirst","countryside_cabin","enabled","H-CAB-01","300","9","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:link → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","through-the-night → i-aint-gay","station.evening","editorial","campaign.radio.programProgress.H-CAB-01","tools/verify-radio-program.mjs · ordered buffer receipts"
"booski_sasole_call","talkFirst","countryside_cabin","enabled","H-CAB-02","300","12","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:link → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","good-ole-days → 10-drunk-cigarettes","jerky","editorial","campaign.radio.programProgress.H-CAB-02","tools/verify-radio-program.mjs · ordered buffer receipts"
"beef_run","musicFirst","beefrun_cockpit","disabled","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"cabin_two","talkFirst","countryside_cabin","enabled","H-CAB-03","300","8","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:link → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","nehoo-with-a-guu → 10-drunk-cigarettes","attorney","editorial","campaign.radio.programProgress.H-CAB-03","tools/verify-radio-program.mjs · ordered buffer receipts"
"bada_bing_two","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"graveyard","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"jerky_motel","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
